,nome,genero,freqs 2014,freqs 2015,freqs 2016,freqs 2017
500,Nadja,F,3,1,0,1
501,Kamila,F,3,1,2,3
502,Solomiya,F,3,1,0,1
503,Alma,F,3,5,7,3
504,Thais,F,3,1,1,4
505,Selena,F,3,3,1,4
506,Yasmina,F,3,1,2,2
507,Aya,F,3,3,2,4
508,Dayane,F,3,6,14,10
509,Samantha,F,3,4,2,4
510,Anastasia,F,3,3,5,7
511,Aida,F,3,3,4,3
512,Élin,F,3,0,0,0
513,Letízia,F,3,0,3,0
514,Janice,F,3,5,4,5
515,Anastacia,F,3,2,2,3
516,Judite,F,3,2,1,3
517,Daina,F,3,3,1,1
518,Anisa,F,3,0,0,1
519,Ivânia,F,3,0,1,2
520,Marcela,F,3,2,0,2
521,Thays,F,2,2,1,3
522,Talia,F,2,0,1,1
523,Ellie,F,2,2,3,2
524,Nicolly,F,2,2,3,4
525,Mira,F,2,1,0,2
526,Zulmira,F,2,0,0,0
527,Lena,F,2,2,3,1
528,Eliny,F,2,0,0,0
529,Inara,F,2,0,2,0
530,Maitê,F,2,0,3,6
531,Corina,F,2,0,0,2
532,Delia,F,2,0,2,2
533,Mirian,F,2,1,5,1
534,Claudine,F,2,0,0,0
535,Lola,F,2,0,3,2
536,Oryana,F,2,0,0,0
537,Winnie,F,2,0,0,0
538,Antonina,F,2,0,0,1
539,Énia,F,2,0,1,0
540,Khyara,F,2,0,1,0
541,Raysa,F,2,0,0,1
542,Karolyna,F,2,0,0,0
543,Amelia,F,2,5,2,4
544,Jennifer,F,2,6,8,10
545,Adelaide,F,2,3,7,5
546,Allegra,F,2,1,0,0
547,Michele,F,2,5,6,3
548,Meng,F,2,1,0,0
549,Cleia,F,2,3,0,0
550,Valeriya,F,2,0,0,0
551,Mya,F,2,1,0,4
552,Rayanne,F,2,2,9,3
553,Elizaveta,F,2,1,0,1
554,Albertina,F,2,1,0,0
555,Helen,F,2,0,1,2
556,Quézia,F,2,0,0,2
557,Adélia,F,2,0,2,4
558,Naira,F,2,2,0,2
559,Avnoor,F,2,0,0,0
560,Marcelina,F,2,0,1,1
561,Faith,F,2,0,0,0
562,Bianka,F,2,0,1,0
563,Adama,F,2,0,2,3
564,Luanna,F,2,4,0,1
565,Khadija,F,2,2,4,3
566,Rafaella,F,2,3,9,2
567,Fatu,F,2,0,0,0
568,Anaya,F,2,3,5,8
569,Ariadna,F,2,1,1,0
570,Josefa,F,2,1,2,0
