nome,genero,freqs 2014,freqs 2015,freqs 2016,freqs 2017
Perla,F,3,6,2,2
Weza,F,3,1,4,1
Kendra,F,3,2,2,4
Alesia,F,3,1,1,2
Laís,F,3,0,7,6
Zélia,F,3,0,2,1
Sonia,F,3,2,1,0
Eleonora,F,3,2,1,0
Xin,F,3,2,0,1
Indira,F,3,1,3,0
Zahra,F,3,6,0,3
Daniella,F,3,5,0,1
Evellyn,F,3,1,1,0
Flora,F,3,12,5,4
Gabriella,F,3,12,5,8
Joyce,F,3,4,6,3
Jandira,F,3,0,3,1
Eugénia,F,3,0,1,1
Nadja,F,3,1,0,1
Kamila,F,3,1,2,3
Solomiya,F,3,1,0,1
Alma,F,3,5,7,3
Thais,F,3,1,1,4
Selena,F,3,3,1,4
Yasmina,F,3,1,2,2
Aya,F,3,3,2,4
Dayane,F,3,6,14,10
Samantha,F,3,4,2,4
Anastasia,F,3,3,5,7
Aida,F,3,3,4,3
Élin,F,3,0,0,0
Letízia,F,3,0,3,0
Janice,F,3,5,4,5
Anastacia,F,3,2,2,3
Judite,F,3,2,1,3
Daina,F,3,3,1,1
Anisa,F,3,0,0,1
Ivânia,F,3,0,1,2
Marcela,F,3,2,0,2
Thays,F,2,2,1,3
Talia,F,2,0,1,1
Ellie,F,2,2,3,2
Nicolly,F,2,2,3,4
Mira,F,2,1,0,2
Zulmira,F,2,0,0,0
Lena,F,2,2,3,1
Eliny,F,2,0,0,0
Inara,F,2,0,2,0
Maitê,F,2,0,3,6
Corina,F,2,0,0,2
Delia,F,2,0,2,2
Mirian,F,2,1,5,1
Claudine,F,2,0,0,0
Lola,F,2,0,3,2
Oryana,F,2,0,0,0
Winnie,F,2,0,0,0
Antonina,F,2,0,0,1
Énia,F,2,0,1,0
Khyara,F,2,0,1,0
Raysa,F,2,0,0,1
Karolyna,F,2,0,0,0
Amelia,F,2,5,2,4
Jennifer,F,2,6,8,10
Adelaide,F,2,3,7,5
Allegra,F,2,1,0,0
Michele,F,2,5,6,3
Meng,F,2,1,0,0
Cleia,F,2,3,0,0
Valeriya,F,2,0,0,0
Mya,F,2,1,0,4
Rayanne,F,2,2,9,3
Elizaveta,F,2,1,0,1
Albertina,F,2,1,0,0
Helen,F,2,0,1,2
Quézia,F,2,0,0,2
Adélia,F,2,0,2,4
Naira,F,2,2,0,2
Avnoor,F,2,0,0,0
Marcelina,F,2,0,1,1
Faith,F,2,0,0,0
Bianka,F,2,0,1,0
Adama,F,2,0,2,3
Luanna,F,2,4,0,1
Khadija,F,2,2,4,3
Rafaella,F,2,3,9,2
Fatu,F,2,0,0,0
Anaya,F,2,3,5,8
Ariadna,F,2,1,1,0
Josefa,F,2,1,2,0
Samaritana,F,2,5,2,8
Eloise,F,2,0,0,1
Taynara,F,2,0,3,3
Lianny,F,2,1,0,0
Elma,F,2,0,0,0
Yanessa,F,2,0,0,0
Baran,F,2,0,0,0
Ânia,F,2,0,3,3
Savannah,F,2,0,1,4
Orquídea,F,2,0,2,1
Tabita,F,2,3,3,1
Haniela,F,2,3,4,4
Sofiya,F,2,4,0,2
Ária,F,2,0,7,2
Veronica,F,2,1,4,2
Edite,F,2,0,0,1
Zita,F,2,1,3,1
Mélinda,F,2,0,0,0
Rebeka,F,2,0,0,0
Cheila,F,2,4,2,3
Maribel,F,2,1,2,1
Jasmin,F,2,1,0,4
Zlata,F,2,2,2,3
Zaira,F,2,3,3,2
Magdalena,F,2,1,1,0
Zenaide,F,2,1,0,0
Mélissa,F,2,0,0,1
Suellen,F,2,0,1,1
Zapryanka,F,2,0,0,0
Ivone,F,2,2,0,7
Ionara,F,2,5,3,12
Talita,F,2,1,1,5
Akira,F,2,0,0,1
Nídia,F,2,0,6,8
Melodia,F,2,0,0,1
Hilda,F,2,1,0,0
Monica,F,2,1,1,1
Caterina,F,2,3,1,1
Mahi,F,2,0,0,0
Thamirys,F,2,0,0,0
Shana,F,2,0,0,2
Louise,F,2,1,2,1
Alda,F,2,3,3,2
Jaskirat,F,2,0,0,0
Elizabet,F,2,0,2,0
Nathalia,F,2,0,0,1
Dafne,F,2,4,4,1
Constânça,F,2,0,1,1
Elisabeta,F,2,0,1,0
Yulia,F,2,0,1,0
Élia,F,2,0,2,2
Mária,F,2,0,0,3
